"Lat","Lon","Index","Region"
58.9319122563539,9.59897690903448,835,"Skagerrak & Kattegat"
58.9368738169379,11.0717262041492,836,"Skagerrak & Kattegat"
58.9365773447502,22.0292429382847,837,"E Baltic"
58.9521233128985,22.2129906348351,838,"E Baltic"
58.9547464461303,23.2297709695477,839,"E Baltic"
58.958556709054,18.4131038035198,840,"Central Baltic"
58.9617896267033,22.0966763677597,841,"E Baltic"
58.964023231163,9.6542992476326,842,"Skagerrak & Kattegat"
58.9697721361197,18.1784222193985,843,"Central Baltic"
58.9673661887383,22.3969298785848,844,"E Baltic"
58.9683035441966,23.4142170491368,845,"E Baltic"
58.9708658226305,9.88963903380757,846,"Skagerrak & Kattegat"
58.9772257458021,22.2806160038617,847,"E Baltic"
58.9859165259201,18.4773686836677,848,"Central Baltic"
58.9972689628565,18.2424935400006,849,"Central Baltic"
58.9961115989765,9.709741947779,850,"Skagerrak & Kattegat"
58.9995369208737,9.82753253355592,851,"Skagerrak & Kattegat"
59.0060134285961,10.0631932678448,852,"Skagerrak & Kattegat"
59.0247324718378,18.3066842927315,853,"Central Baltic"
59.02171083794,22.8335639240236,854,"E Baltic"
59.0269245520345,11.0067517984341,855,"Skagerrak & Kattegat"
59.0289758814339,11.1247832227219,856,"Skagerrak & Kattegat"
59.0273160145211,22.4162118037019,857,"E Baltic"
59.032029689084,22.7171841533179,858,"E Baltic"
59.0379034121126,10.1191585979538,859,"Skagerrak & Kattegat"
59.0408956090992,10.237159929043,860,"Skagerrak & Kattegat"
59.0464109337939,18.4886485698162,861,"Central Baltic"
59.0523036061986,22.4841824409007,862,"E Baltic"
59.0583387219149,11.0637703475226,863,"Skagerrak & Kattegat"
59.0577900166707,18.2532952848537,864,"Central Baltic"
59.0634500802115,23.3881308842827,865,"E Baltic"
59.0727032749365,10.2933796720956,866,"Skagerrak & Kattegat"
59.0737385846258,18.5531753755907,867,"Central Baltic"
59.0772526730085,22.5522683723017,868,"E Baltic"
59.0854906952434,10.8843780172384,869,"Skagerrak & Kattegat"
59.1044874092949,10.3497209541419,870,"Skagerrak & Kattegat"
59.1021630924012,22.6204696987233,871,"E Baltic"
59.1072360275609,10.4680114285218,872,"Skagerrak & Kattegat"
59.114729465042,10.8230084534407,873,"Skagerrak & Kattegat"
59.1190977151818,11.0597677589708,874,"Skagerrak & Kattegat"
59.1210935292469,11.1781727795442,875,"Skagerrak & Kattegat"
59.1342509142289,18.5646450697083,876,"Central Baltic"
59.1462509027196,10.8800007073894,877,"Skagerrak & Kattegat"
59.1504986347779,11.1170219197944,878,"Skagerrak & Kattegat"
59.1476352717236,23.4785216989607,879,"E Baltic"
59.1555181551032,18.7474753000776,880,"Central Baltic"
59.167984646962,10.4627692764554,881,"Skagerrak & Kattegat"
59.1674493451862,18.5113478628627,882,"Central Baltic"
59.175495790436,10.8184997406134,883,"Skagerrak & Kattegat"
59.1996975311014,10.5194768880582,884,"Skagerrak & Kattegat"
59.2047108949362,10.7568761900943,885,"Skagerrak & Kattegat"
59.2006276096532,18.4579300501109,886,"Central Baltic"
59.2098671661545,18.8776098539683,887,"Central Baltic"
59.2220760413388,18.6410970973642,888,"Central Baltic"
59.2160339738781,18.7593780932286,889,"Central Baltic"
59.2317810285785,23.5694318394722,890,"E Baltic"
59.2432265770742,18.8245304705691,891,"Central Baltic"
59.2493382201397,18.7061530508001,892,"Central Baltic"
59.264078473859,19.0082269825933,893,"N Baltic"
59.2560832455342,23.6388473528341,894,"Gulf of Finland"
59.2703847676438,18.889803813055,895,"N Baltic"
59.2783053910612,23.4047227595302,896,"Gulf of Finland"
59.2931255757952,23.8950915967607,897,"Gulf of Finland"
59.2975084226252,18.9551982879808,898,"N Baltic"
59.3045668542889,23.778024033688,899,"Gulf of Finland"
59.3137172188096,23.3568450047401,900,"Gulf of Finland"
59.3055957116424,24.0819663457192,901,"Gulf of Finland"
59.3172325865233,23.9649222153245,902,"Gulf of Finland"
59.3263082632102,10.7475370159804,903,"Skagerrak & Kattegat"
59.328747998066,23.8477853634152,904,"Gulf of Finland"
59.3412988744353,24.0348679869076,905,"Gulf of Finland"
59.364308923296,18.8487766762665,906,"N Baltic"
59.3580429416039,18.9675897321909,907,"N Baltic"
59.3820840955636,10.5039567904632,908,"Skagerrak & Kattegat"
59.3846720465298,10.6233871716246,909,"Skagerrak & Kattegat"
59.3769883430901,23.9876543988154,910,"Gulf of Finland"
59.3851325069282,19.0332529616747,911,"N Baltic"
59.3893087844671,24.1751052922982,912,"Gulf of Finland"
59.4138085073502,10.5611259410187,913,"Skagerrak & Kattegat"
59.4132521575043,24.2453969748608,914,"Gulf of Finland"
59.4303614736978,27.8166926959688,915,"Gulf of Finland"
59.442914520366,10.4987402036982,916,"Skagerrak & Kattegat"
59.4371543095616,24.3158041079338,917,"Gulf of Finland"
59.4458746912731,27.7008809828794,918,"Gulf of Finland"
59.4625917635413,27.0907519905711,919,"Gulf of Finland"
59.4719899647518,10.4362297341855,920,"Skagerrak & Kattegat"
59.4726750535094,24.5744811487097,921,"Gulf of Finland"
59.4697277090523,27.279775381675,922,"Gulf of Finland"
59.4840215190088,24.7627843304357,923,"Gulf of Finland"
59.4854561219488,18.8732248782803,924,"N Baltic"
59.4920084993295,26.8580017880381,925,"Gulf of Finland"
59.5010347193689,10.3735943072882,926,"Skagerrak & Kattegat"
59.4968720555885,24.3393510915842,927,"Gulf of Finland"
